boundary,stage,input_or_operation,protocol_information,what_to_record,status
Out of core production boundary,Strain construction,"Plasmid design / PCR / gel / Gibson / E. coli transformation / sequencing / plasmid extraction / yeast transformation","Documented as development steps","Keep for engineering/reproducibility; do not charge to every production batch unless an extended R&D boundary is reported","Documented"
In core boundary,Seed / first expansion,Yeast culture,"Protocol specifies first expansion before larger-scale culture","Actual medium composition; actual volume; time; temperature; RPM; inoculum OD","Partial protocol; batch values needed"
In core boundary,Larger expansion,Yeast culture,"Protocol specifies larger shake-flask expansion and either galactose induction or non-galactose pathway","Actual volume; time; temperature; RPM; promoter/induction mode","Partial protocol; batch values needed"
In core boundary,Induction,Galactose where applicable,"Protocol records galactose induction for relevant constructs","Actual galactose amount/concentration per batch","Protocol value available; actual batch confirmation needed"
In core boundary,Fermentation,Compound 10 / 4'-O-methylpreglabridin,"Protocol records precursor addition and the current 0–120 h core sampling plan","Initial precursor; residual precursor; sampling volume; OD600; compounds 9/10/11/13/14/15","Sampling plan available; results needed"
In core boundary,Harvest,Centrifugation,"Protocol includes centrifugation before extraction","Actual run time; speed/RCF; equipment ID/power; processed volume","Partial protocol; energy data needed"
In core boundary,Cell resuspension,Water,"Protocol includes water resuspension","Actual water volume per batch","Protocol template available; actual batch value needed"
In core boundary,Extraction,Ethyl acetate,"Protocol includes ethyl-acetate extraction and sonication","Actual solvent volume; sonication time; equipment ID/power","Protocol template available; batch/energy data needed"
In core boundary,Concentration,Rotary evaporation,"Protocol includes rotary evaporation","Duration; bath temperature; vacuum; equipment power","Operation documented; quantitative data needed"
In core boundary,Analytical preparation,Methanol and re-dissolution solvent,"Protocol includes re-dissolution and methanol dilution before chromatography","Actual solvent volumes; dilution factor","Operation documented; quantitative data needed"
In core boundary,Product analysis,Chromatography,"Protocol measures concentration and purity","Glabridin concentration; purity; intermediate concentrations; standard curves; detection limits","Method planned; quantitative results needed"
