category,data_item,why_needed,current_source_status,action,priority
Experiment identity,Host strain,"Traceability and fair matched comparison","Host yeast mentioned but strain identity not present in current sustainability dataset","Record exact strain","Critical"
Experiment identity,Integration site / plasmid copy number,"Explain expression architecture and reproducibility","Requested in wet-lab correction; value not yet supplied","Record exact value or state unknown","High"
Experiment identity,Promoter per construct,"Interpret induction mode and match controls","Protocol distinguishes galactose vs non-galactose systems; construct-specific assignment incomplete","Record promoter and induction mode per construct","Critical"
Experiment identity,ER anchor / SH3-PDZ / ligand / fusion / linker / fluorescent tag,"Reproducibility and mechanistic interpretation","Requested in wet-lab correction; exact metadata not yet supplied","Create construct metadata sheet","High"
Culture & production,Actual culture volume / time / temperature / RPM,"Normalize production and resource inputs","Protocol gives template conditions; actual batch values absent","Record actual values per batch","Critical"
Culture & production,OD600 time points,"Separate biomass growth from pathway-efficiency effects","Not in current protocol output; wet-lab team suggested adding OD","Measure at substrate addition and final time; ideally sampling time points","Critical"
Culture & production,Initial and residual precursor concentration,"Calculate substrate consumption and yield","Initial precursor condition described; residual concentration absent","Measure both initial and residual precursor","Critical"
Culture & production,Glabridin concentration,"Titer/yield/productivity","Protocol plans concentration measurement; results not provided","Measure all core replicates/time points","Critical"
Metabolite time series,Metabolite 14,"Track important demethylation product and pathway bottleneck","Newly requested by wet-lab team; not in current dataset","Add quantitative method/standard if feasible","Critical"
Metabolite time series,Intermediates 9/10/11,"Explain pathway distribution and DMT substrate preference","Requested; results not provided","Quantify where feasible; define detection/standard limitations","High"
Enzyme function,DMT relative activity toward 9/10/11,"Distinguish substrate preference from LLPS organization effects","Newly requested; no results","Measure relative activity under matched assay conditions","High"
Resource inventory,Actual medium / inducer / precursor quantities,"PMI and cost","Protocol identifies materials but not complete actual per-batch inventory","Record actual batch input","Critical"
Resource inventory,Water / ethyl acetate / methanol quantities,"Water/solvent intensity and downstream burden","Protocol identifies these inputs; actual batch totals incomplete","Record actual volume for every batch/sample","Critical"
Resource inventory,Equipment use time and rated power,"Process energy intensity","Some operations documented; complete duration and power absent","Record use time; look up nameplate/rated power separately","High"
Product quality,Purity and recovery,"Industry relevance and downstream efficiency","Purity measurement planned; recovery not defined","Measure purity; record crude vs purified amount if purification is performed","High"
Safety,Containment / inactivation evidence,"Negative-impact and GMO waste mitigation","Not present in current protocol","Add one quantitative containment/inactivation test if feasible","High"
QA,Biological replicates >=3 for core endpoints,"Reproducibility and statistical significance","Required by sustainability plan; actual completed replicate count not confirmed","Lock replicate plan and IDs","Critical"
QA,Standard curves / detection limits / raw-data links,"Quantitative credibility and reusability","Requested in data package; not yet supplied","Archive standards, LOD/LOQ if available, raw-data path","Critical"
